,Unnamed: 0,Unnamed: 0.1,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
371,371,371,171445,2017-02-18 18:00:00,242,8400, ,CAPRICORN,WAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.9252506,-117.14256709999998
372,372,372,171499,2017-02-18 18:02:00,437,600,S,SIENA,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.6988033,-117.04376
373,373,373,171383,2017-02-18 19:02:00,524,600, ,B,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.718146999999995,-117.1585979
374,374,374,171416,2017-02-18 19:34:00,122,2500, ,GARNET,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.804620799999995,-117.2248822
375,375,375,171371,2017-02-18 22:30:00,811,4600, ,EAST MTN VIEW,DRIVE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7615321,-117.1143745
376,376,376,171462,2017-02-18 23:14:00,628,3400, ,KETTNER,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.737880600000004,-117.1780083
377,377,377,171393,2017-02-19 00:01:00,934,12900, ,EL CAMINO REAL, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.951088899999995,-117.2350041
378,378,378,171484,2017-02-19 00:01:00,124,8600, ,VILLA LA JOLLA,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8648151,-117.2351865
379,379,379,171394,2017-02-19 00:01:00,934,12600, ,EL CAMINO REAL, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,32.9476554,-117.2375967
380,380,380,171885,2017-02-19 00:01:00,623,7000, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7693892,-117.1701881
381,381,381,171544,2017-02-19 00:42:00,432,5400, ,OLVERA,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.698766600000006,-117.079733
382,382,382,171478,2017-02-19 00:45:00,313,7700, ,BALBOA,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.8218241,-117.1586937
383,383,383,171382,2017-02-19 02:48:00,523,700, ,04TH,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.715738,-117.1610838
384,384,384,171368,2017-02-19 02:50:00,714,700,E,SAN YSIDRO,BOULEVARD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.5452999,-117.030612
385,385,385,171442,2017-02-19 03:00:00,326,5500, ,BAJA,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.767928999999995,-117.0769017
386,386,386,171433,2017-02-19 07:13:00,613,4500, ,VOLTAIRE,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7464601,-117.23774
387,387,387,172229,2017-02-19 08:37:00,615,3100, ,KEATS,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,MISDEMEANOR,32.728627100000004,-117.2273756
388,388,388,171671,2017-02-19 08:40:00,525,700, ,04TH,AVENUE, , , ,21461A,VC,FAIL TO OBEY TRAFFIC CONTROL DEVICE,2,0,,32.715738,-117.1610838
389,389,389,172281,2017-02-19 09:25:00,621,2700, ,NYE,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7921837,-117.176341
390,390,390,172033,2017-02-19 09:49:00,444,3600, ,HOME,AVENUE, , , ,22450(A),VC,STOP REQUIREMENTS STATE STOP LINE,1,0,,32.7176338,-117.11055729999998
391,391,391,171400,2017-02-19 10:21:00,723,0, ,PALM,AVENUE, ,PICCARD AV , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,32.583899,-117.08289209999998
392,392,392,171564,2017-02-19 10:25:00,934,10700, ,CALLE MAR DE MARIPOS, , , , ,21453C,VC,RED ARROWDO NOT ENTER INTERSECTION,1,0,,32.913436,-117.2279683
393,393,393,171542,2017-02-19 12:15:00,246,10100, ,SCRIPPS POWAY,PARKWAY, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.936475800000004,-117.110556
394,394,394,171455,2017-02-19 16:00:00,623,1100, ,FASHION VALLEY,ROAD, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,3,0,,32.767397100000004,-117.17118
