,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
966,186043,2018-08-05 16:22:00,122,1000, ,PACIFIC BEACH,DRIVE, , , ,22100B,VC,LEFT TURNS AT INTERSECTIONS,1,0,,32.791788,-117.2500158
967,186044,2018-08-05 16:50:00,121,3000, ,OCEAN FRONT,WALK, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.7676861,-117.2525695
968,186000,2018-08-05 17:15:00,834,3600, ,CENTRAL,AVENUE, , , ,21802A,VC,ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE,1,0,,32.7440684,-117.108242
969,185954,2018-08-05 18:19:00,246,10100, ,SCRIPPS POWAY,PARKWAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.9364758,-117.110556
970,186234,2018-08-05 18:35:00,231,12500, ,SPRINGHURST,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.9459343,-117.0771155
971,186172,2018-08-05 20:57:00,721,1500, ,CORONADO,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.576506,-117.1013431
972,185936,2018-08-05 21:20:00,613,4500, ,WEST POINT LOMA,BOULEVARD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7521822,-117.2339888
973,185981,2018-08-05 21:55:00,313,4600, ,CONVOY,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8237433,-117.1552298
974,186316,2018-08-05 23:20:00,437,1600, ,SHERBROOK,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.6879441,-117.0300814
975,186223,2018-08-05 23:25:00,232,11600, ,TED WILLIAMS,PARKWAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.9280463,-117.2407788
976,186084,2018-08-06 00:01:00,325,5500, ,KIOWA,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7795012,-117.0399433
977,186194,2018-08-06 00:01:00,521,1400, ,BROADWAY, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7159732,-117.151728
978,186023,2018-08-06 01:50:00,122,3300, ,INGRAHAM,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7799708,-117.2365138
979,186009,2018-08-06 02:45:00,613,2900, ,WORDEN,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7513133,-117.2232021
980,186050,2018-08-06 03:38:00,123,0, ,SEA WORLD,DRIVE, ,SEA WORLD,DRIVE,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7612373,-117.218909
981,187336,2018-08-06 06:55:00,122,2200, ,GRAND,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,32.8003551,-117.2292719
982,186036,2018-08-06 07:08:00,122,1000, ,GARNET,AVENUE, , , ,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,,32.7977144,-117.2516744
983,186070,2018-08-06 08:38:00,627,600, ,PENNSYLVANIA,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7451388,-117.1595417
984,185975,2018-08-06 09:25:00,233,12800, ,RANCHO PENASQUITOS,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.9508366,-117.1078035
985,186062,2018-08-06 09:30:00,315,2100, ,STATION VILLAGE,WAY, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,32.7742542,-117.142059
986,185985,2018-08-06 09:42:00,824,4700, ,EL CAJON,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.7559604,-117.0929375
987,186594,2018-08-06 10:00:00,518,2800, ,ASH,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.720302,-117.1338463
988,185980,2018-08-06 10:28:00,451,2900, ,CHOLLAS,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7356212,-117.0870776
