,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
26671,SS-027478,76.244,VENICE ST,NIAGARA AV,NEWPORT AV,374.0858,40.0,Residential,AC Improved,14963.431999999999,Good,1140871.909408,32.738556,-117.2396629,32.739403,-117.238937
26672,SS-027479,74.0,VENICE ST,NARRAGANSETT AV,NIAGARA AV,381.0073,40.0,Residential,AC Improved,15240.292,Good,1127781.608,32.7377255,-117.2403679,32.738556,-117.2396629
26673,SS-027480,77.866,VENICE ST,DEL MONTE AV,NARRAGANSETT AV,381.602,40.0,Residential,AC Improved,15264.08,Good,1188552.85328,32.736859,-117.2411113,32.7377255,-117.2403679
26674,SS-027481,81.958,VENICE ST,SANTA CRUZ AV,DEL MONTE AV,383.0025,40.0,Residential,AC Improved,15320.1,Good,1255604.7558,32.7360178,-117.2418438,32.736859,-117.2411113
26675,SS-027482,82.314,VENICE ST,CORONADO AV,SANTA CRUZ AV,381.4384,40.0,Residential,AC Improved,15257.536,Good,1255908.8183040002,32.7351811,-117.2425801,32.7360178,-117.2418438
26676,SS-027483,72.9,VENICE ST,DEL MAR AV,CORONADO AV,375.2032,40.0,Residential,AC Improved,15008.128,Good,1094092.5312,32.734341,-117.243294,32.7351811,-117.2425801
26677,SS-027484,75.38,VENICE ST,ORCHARD AV,DEL MAR AV,377.4047,40.0,Residential,AC Improved,15096.188,Good,1137950.65144,32.7334921,-117.2440185,32.734341,-117.243294
26678,SS-027485,61.218,VENICE ST,SAVOY CR,ORCHARD AV,278.0772,36.0,Residential,AC Improved,10010.7792,Fair,612839.8810656,32.7330689,-117.244392,32.7334921,-117.2440185
26679,SS-027486,58.3,VENTURA PL,STRANDWAY,MISSION BL,433.969,40.0,Residential,AC Improved,17358.76,Fair,1012015.708,32.7720155,-117.2526013,32.7720071,-117.2512662
26680,SS-027488,11.47,VENUS ST,OLLIE ST,CAMULOS ST,659.0484,36.0,Residential,AC Improved,23725.7424,Poor,272134.265328,32.7552644,-117.2227634,32.7562105,-117.2246188
26682,SS-027490,80.182,VERALEE DR,BISCAY DR,CLAVELITA ST,610.3748,40.0,Residential,AC Improved,24414.992000000002,Good,1957642.8885439998,32.5713093,-117.0641838,32.5712671,-117.0623187
26683,SS-027491,80.3,VERALEE DR,BEYER BL,BISCAY DR,164.5601,40.0,Residential,AC Improved,6582.404,Good,528567.0412,32.5711386,-117.0646656,32.5713093,-117.0641838
26685,SS-027493,60.582,VERANO DR,FERNANDO WY,VERANO PL,843.3662,36.0,Residential,AC Improved,30361.1832,Fair,1839341.2006223998,33.0420103,-117.0673221,33.0432062,-117.0651239
26686,SS-027494,63.06399999999999,VERANO DR,COTORRO WY,FERNANDO WY,682.0205,36.0,Residential,AC Improved,24552.737999999998,Fair,1548393.869232,33.0405247,-117.0685333,33.0420103,-117.0673221
26687,SS-027495,73.294,VERANO DR,VERANO CT,COTORRO WY,245.9587,36.0,Residential,AC Improved,8854.5132,Good,648982.6904808001,33.0398268,-117.0685846,33.0405247,-117.0685333
26688,SS-027496,54.77,VERANO DR,COTORRO RD,VERANO CT,612.5979,36.0,Residential,AC Improved,22053.5244,Fair,1207871.531388,33.0405247,-117.0685333,33.0398268,-117.0685846
26689,SS-027497,57.653999999999996,VERANO DR,VERANO PL,MIRASOL DR,625.88,36.0,Residential,AC Improved,22531.68,Fair,1299041.47872,33.0432062,-117.0651239,33.04251010000001,-117.0632669
