"seg_id","oci","street","street_from","street_to","seg_length_ft","seg_width_ft","func_class","pvm_class","area_sq_ft","oci_desc","oci_wt"
"SA-000121",89.7,"ALLEY","","",331.5023,30,"Alley","PCC Jointed Concrete",9945.069,"Good",892072.6893
"SA-000124",70.08,"ALLEY","","",288.007,30,"Alley","PCC Jointed Concrete",8640.21,"Good",605505.9168
"SA-000125",62.55,"ALLEY","","",377.0012,30,"Alley","PCC Jointed Concrete",11310.036,"Fair",707442.7518
"SA-000126",77.76,"ALLEY","","",680.0029,30,"Alley","PCC Jointed Concrete",20400.087,"Good",1586310.76512
"SA-000127",84.91,"ALLEY","","",643.0031,30,"Alley","PCC Jointed Concrete",19290.093,"Good",1637921.79663
"SA-000128",50.08,"ALLEY","","",680.0029,30,"Alley","PCC Jointed Concrete",20400.087,"Fair",1021636.35696
"SA-000129",64.14,"ALLEY","","",680.0183,30,"Alley","PCC Jointed Concrete",20400.549,"Fair",1308491.21286
"SA-000130",69.58,"ALLEY","","",683.0007,30,"Alley","PCC Jointed Concrete",20490.021,"Fair",1425695.66118
"SA-000131",34.99,"ALLEY","","",678.0066,30,"Alley","PCC Jointed Concrete",20340.198,"Poor",711703.52802
"SA-000132",31.58,"ALLEY","","",683.0536,30,"Alley","PCC Jointed Concrete",20491.608,"Poor",647124.98064
"SA-000133",32.8,"ALLEY","","",679.0066,30,"Alley","AC Improved",20370.198,"Poor",668142.4944
"SA-000134",58.02,"ALLEY","","",683.0117,30,"Alley","PCC Jointed Concrete",20490.351,"Fair",1188850.16502
"SA-000135",60.15,"ALLEY","","",482.44,30,"Alley","PCC Jointed Concrete",14473.2,"Fair",870562.98
"SA-000136",75.08,"ALLEY","","",665.0486,30,"Alley","PCC Jointed Concrete",19951.458,"Good",1497955.46664
"SA-000138",91.2,"ALLEY","","",617.014,30,"Alley","PCC Jointed Concrete",18510.42,"Good",1688150.304
"SA-000139",61.16,"ALLEY","","",661.0242,30,"Alley","PCC Jointed Concrete",19830.726,"Fair",1212847.20216
"SA-000140",66.01,"ALLEY","","",781.0026,30,"Alley","PCC Jointed Concrete",23430.078,"Fair",1546619.44878
"SA-000141",88.83,"ALLEY","","",549.0035,30,"Alley","PCC Jointed Concrete",16470.105,"Good",1463039.42715
"SA-000142",58.71,"ALLEY","","",660.0273,30,"Alley","PCC Jointed Concrete",19800.819,"Fair",1162506.08349
"SA-000143",61.16,"ALLEY","","",660.01,30,"Alley","PCC Jointed Concrete",19800.3,"Fair",1210986.348
"SA-000144",59.11,"ALLEY","","",785.0027,30,"Alley","PCC Jointed Concrete",23550.081,"Fair",1392045.28791
"SA-000145",62.39,"ALLEY","","",550.0444,30,"Alley","PCC Jointed Concrete",16501.332,"Fair",1029518.10348
"SA-000146",65.42,"ALLEY","","",662.0121,30,"Alley","PCC Jointed Concrete",19860.363,"Fair",1299264.94746
"SA-000147",46.73,"ALLEY","","",660.0007,30,"Alley","PCC Jointed Concrete",19800.021,"Fair",925254.98133
"SA-000148",72.08,"ALLEY","","",690.0065,30,"Alley","PCC Jointed Concrete",20700.195,"Good",1492070.0556
"SA-000149",52.2,"ALLEY","","",664.0325,30,"Alley","PCC Jointed Concrete",19920.975,"Fair",1039874.895
"SA-000150",25.01,"ALLEY","","",659.0008,30,"Alley","PCC Jointed Concrete",19770.024,"Poor",494448.30024
"SA-000151",59.33,"ALLEY","","",677.0312,30,"Alley","PCC Jointed Concrete",20310.936,"Fair",1205047.83288
"SA-000152",59.9,"ALLEY","","",661.019,30,"Alley","PCC Jointed Concrete",19830.57,"Fair",1187851.143
"SA-000153",62.46,"ALLEY","","",664.0138,30,"Alley","PCC Jointed Concrete",19920.414,"Fair",1244229.05844
"SA-000154",58.85,"ALLEY","","",659.0008,30,"Alley","PCC Jointed Concrete",19770.024,"Fair",1163465.9124
"SA-000155",59.05,"ALLEY","","",679.0029,30,"Alley","PCC Jointed Concrete",20370.087,"Fair",1202853.63735
"SA-000156",64.46,"ALLEY","","",661.0272,30,"Alley","PCC Jointed Concrete",19830.816,"Fair",1278294.39936
"SA-000157",64.52,"ALLEY","","",663.0007,30,"Alley","PCC Jointed Concrete",19890.021,"Fair",1283304.15492
"SA-000159",69.77,"ALLEY","","",679.0117,30,"Alley","PCC Jointed Concrete",20370.351,"Fair",1421239.38927
"SA-000160",69.04,"ALLEY","","",660.0079,30,"Alley","PCC Jointed Concrete",19800.237,"Fair",1367008.36248
"SA-000161",79.81,"ALLEY","","",664.0432,30,"Alley","PCC Jointed Concrete",19921.296,"Good",1589918.63376
"SA-000162",82.1,"ALLEY","","",667.027,30,"Alley","PCC Jointed Concrete",20010.81,"Good",1642887.501
"SA-000163",73.306,"ALLEY","","",661.0172,30,"Alley","PCC Jointed Concrete",19830.516,"Good",1453695.805896
"SA-000164",67.56,"ALLEY","","",668.0126,30,"Alley","PCC Jointed Concrete",20040.378,"Fair",1353927.93768
"SA-000165",92.28,"ALLEY","","",661.0146,30,"Alley","PCC Jointed Concrete",19830.438,"Good",1829952.81864
"SA-000166",73.04,"ALLEY","","",669.0269,30,"Alley","PCC Jointed Concrete",20070.807,"Good",1465971.74328
"SA-000167",87.89,"ALLEY","","",181,30,"Alley","PCC Jointed Concrete",5430,"Good",477242.7
"SA-000168",74.45,"ALLEY","","",662.3361,30,"Alley","PCC Jointed Concrete",19870.083,"Good",1479327.67935
"SA-000169",82.7,"ALLEY","","",227.4027,30,"Alley","PCC Jointed Concrete",6822.081,"Good",564186.0987
"SA-000170",61.53,"ALLEY","","",665.1532,30,"Alley","PCC Jointed Concrete",19954.596,"Fair",1227806.29188
"SA-000171",73.92,"ALLEY","","",664.6398,30,"Alley","PCC Jointed Concrete",19939.194,"Good",1473905.22048
"SA-000172",43,"ALLEY","","",433.4167,30,"Alley","PCC Jointed Concrete",13002.501,"Fair",559107.543
"SA-000173",65.59,"ALLEY","","",660.8034,30,"Alley","PCC Jointed Concrete",19824.102,"Fair",1300262.85018
"SA-000174",57.308,"ALLEY","","",660.6217,30,"Alley","PCC Jointed Concrete",19818.651,"Fair",1135767.251508
"SA-000175",55.52,"ALLEY","","",660.5466,30,"Alley","PCC Jointed Concrete",19816.398,"Fair",1100206.41696
"SA-000176",67,"ALLEY","","",497.8553,30,"Alley","PCC Jointed Concrete",14935.659,"Fair",1000689.153
"SA-000177",76.89,"ALLEY","","",737.1733,30,"Alley","PCC Jointed Concrete",22115.199,"Good",1700437.65111
"SA-000178",78.74,"ALLEY","","",655.954,30,"Alley","PCC Jointed Concrete",19678.62,"Good",1549494.5388
"SA-000180",88.92,"ALLEY","","",273.4903,30,"Alley","PCC Jointed Concrete",8204.709,"Good",729562.72428
"SA-000181",81.86,"ALLEY","","",663.0135,30,"Alley","PCC Jointed Concrete",19890.405,"Good",1628228.5533
"SA-000182",51.37,"ALLEY","","",658.3688,30,"Alley","PCC Jointed Concrete",19751.064,"Fair",1014612.15768
"SA-000183",82.018,"ALLEY","","",660.0379,30,"Alley","PCC Jointed Concrete",19801.137,"Good",1624049.654466
"SA-000184",79.9,"ALLEY","","",663.3625,30,"Alley","PCC Jointed Concrete",19900.875,"Good",1590079.9125
