,Unnamed: 0,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19,9253,SS-008016,74.00399999999998,CORONADO AV,SANTA BARBARA ST,GUIZOT ST,662.2221,40.0,Prime,AC Improved,26488.884,Good,1960283.371536,32.736243699999996,-117.24430009999999,32.7373174,-117.24604309999998
20,9254,SS-008017,75.756,CORONADO AV,VENICE ST,SANTA BARBARA ST,655.8004,40.0,Residential,AC Improved,26232.016,Good,1987232.604096,32.7351811,-117.2425801,32.736243699999996,-117.24430009999999
21,9255,SS-008018,71.658,CORONADO AV,OCEAN FRONT ST,BACON ST,190.1687,40.0,Prime,PCC Jointed Concrete,7606.748,Good,545084.348184,32.7423289,-117.25419939999999,32.7426746,-117.2546578
22,9256,SS-008019,83.65,CORONADO AV,CATALINA BL,VENICE ST,630.0001,40.0,Residential,AC Improved,25200.004,Good,2107980.3346,32.7341674,-117.24091399999999,32.7351811,-117.2425801
23,9257,SS-008020,79.72399999999998,CORONADO AV,CHATSWORTH BL,CATALINA BL,1280.7969,40.0,Residential,AC Improved,51231.876,Good,4084410.082224,32.7320219,-117.23766440000001,32.7341674,-117.24091399999999
24,9260,SS-008031,51.942,CORRIDOR ST,NEGLEY AV,IRONWOOD RD,346.7914,30.0,Residential,AC Improved,10403.742,Fair,540391.1669640001,32.9036059,-117.091793,32.904408000000004,-117.09238329999998
25,9264,SS-008035,74.242,CORSICA ST,CORSICA WY,GLIDDEN ST,242.3787,36.0,Residential,AC Improved,8725.6332,Good,647808.4600344,32.7756495,-117.1776608,32.7762308,-117.1780318
26,9265,SS-008036,83.63799999999998,CORSICA ST,ALCALA KNOLLS DR,CORSICA WY,637.1942,36.0,Residential,AC Improved,22938.9912,Good,1918571.3459856003,32.7752763,-117.1759477,32.7756495,-117.1776608
27,9266,SS-008037,83.36399999999998,CORSICA WY,VIA MADRINA ST,BORANA ST,223.0813,36.0,Residential,AC Improved,8030.9268,Good,669490.1817551999,32.7749998,-117.17903159999999,32.775166,-117.17834140000001
28,9268,SS-008039,81.266,CORSICA WY,BORANA ST,CORSICA ST,278.8711,36.0,Residential,AC Improved,10039.3596,Good,815858.5972535998,32.775166,-117.17834140000001,32.7756495,-117.1776608
29,9271,SS-008043,22.5,CORVUS PL,WESTONHILL DR,SIRIAS RD,255.0704,36.0,Residential,AC Improved,9182.5344,Poor,206607.024,32.9250233,-117.13566759999999,32.925014000000004,-117.134819
30,9275,SS-008047,62.828,COSMO ST,COSMO CT,ECKSTROM AV,288.0285,36.0,Residential,AC Improved,10369.026,Fair,651465.165528,32.8194219,-117.1659084,32.820207,-117.16591000000001
