,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19547,SS-019409,36.32,MT LAUDO DR,MT HERBERT AV,MT HUKEE AV,250.9282,36.0,Residential,AC Improved,9033.4152,Poor,328093.640064,32.821827,-117.195251,32.8215003,-117.1945319
19548,SS-019410,76.314,MT LAUDO DR,MT HUKEE AV,MT PUTMAN AV,255.3919,36.0,Residential,AC Improved,9194.1084,Good,701639.1884375999,32.8215003,-117.1945319,32.8211518,-117.1938071
19549,SS-019411,83.43,MT LAUDO DR,MT PUTMAN AV,MT JEFFERS AV,263.4539,36.0,Residential,AC Improved,9484.3404,Good,791278.519572,32.8211518,-117.1938071,32.8209104,-117.1932788
19550,SS-019412,90.0,MT LAURENCE DR,PRIVATE RD,MT SANDY DR,118.7729,30.0,Local,AC Improved,3563.187,Good,320686.83,32.806885,-117.209877,32.8068374,-117.2107333
19551,SS-019413,95.00200000000001,MT LAURENCE DR,MT SANDY DR,DON LORENZO DR,265.0168,36.0,Local,AC Improved,9540.6048,Good,906376.5372096001,32.8068374,-117.2107333,32.806885,-117.209877
19552,SS-019414,70.234,MT LAURENCE DR,DON LORENZO DR,TRENTON AV,580.9665,36.0,Local,AC Improved,20914.793999999998,Good,1468929.6417959998,32.806885,-117.209877,32.806606,-117.208038
19554,SS-019416,80.66,MT LINDSEY AV,MT LINDSEY PL,MT FRISSELL DR,515.2108,36.0,Residential,AC Improved,18547.5888,Good,1496048.512608,32.825268,-117.194794,32.825268,-117.194794
19555,SS-019417,75.26,MT LINDSEY AV,MT KING DR,MT LINDSEY PL,429.4445,36.0,Residential,AC Improved,15460.002,Good,1163519.75052,32.825268,-117.194794,32.825268,-117.194794
19557,SS-019419,48.346000000000004,MT LONGS DR,MT LA PLATTA DR,MT LA PALMA DR,253.671,36.0,Residential,AC Improved,9132.155999999999,Fair,441503.213976,32.828083,-117.191368,32.825905,-117.188217
19558,SS-019420,70.176,MT LONGS DR,MT LA PALMA DR,MT HERBERT AV,297.8755,36.0,Residential,AC Improved,10723.518,Good,752533.599168,32.825905,-117.188217,32.826908,-117.190331
19559,SS-019421,75.744,MT LONGS DR,MT HERBERT AV,MT LA PALMA DR,745.4709,36.0,Residential,AC Improved,26836.9524,Good,2032738.1225856002,32.826908,-117.190331,32.825905,-117.188217
19560,SS-019422,71.896,MT LONGS DR,MT LA PALMA DR,MT FORAKER AV,263.8221,36.0,Residential,AC Improved,9497.5956,Good,682839.1332576,32.825905,-117.188217,32.82555,-117.187469
19561,SS-019423,74.172,MT MIGUEL DR,CHADWICK AV,MARMIL AV,1103.1913,36.0,Residential,AC Improved,39714.8868,Good,2945732.5837296,32.6679,-117.058907,32.665253,-117.060112
19563,SS-019425,64.934,MT PUTMAN AV,MT HORTON DR,MT LAUDO DR,939.0086,36.0,Residential,AC Improved,33804.3096,Fair,2195049.0395664,32.8186117,-117.1937802,32.8211518,-117.1938071
