,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
119,171682,2017-02-28 15:25:00,243,8200, ,MIRAMAR,ROAD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,2,0,,32.8897702,-117.1428157
120,171695,2017-02-28 15:52:00,115,4100, ,LA JOLLA VILLAGE,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.8715929,-117.2182187
121,171676,2017-02-28 16:43:00,242,8200, ,MIRA MESA,BOULEVARD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.9127199,-117.1468059
122,171649,2017-02-28 16:45:00,611,4500, ,PACIFIC,HIGHWAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7534866,-117.201184
123,171717,2017-02-28 17:20:00,931,6300, ,MIRAMAR,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,3,0,,32.8781719,-117.1786781
124,171730,2017-02-28 17:50:00,242,9900, ,MERCY,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.9348782,-117.117712
125,171656,2017-02-28 18:15:00,826,5000, ,UNIVERSITY,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY,1,0,MISDEMEANOR,32.7487388,-117.0869657
126,19200065,2017-02-28 18:45:00,113,4500, ,CLAIREMONT,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,32.8244981,-117.2061045
127,171714,2017-02-28 19:48:00,321,10900, ,SAN DIEGO MISSION,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.7837128,-117.1053159
128,171644,2017-02-28 23:15:00,122,4500, ,MISSION BAY,DRIVE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8026293,-117.2164549
